player_id,match_id,minutes_played,goals,assists,total_shots,xg,xa,shots_on_target,successful_dribbles,big_chances_missed,touches_opposition_box,touches,accurate_passes,accurate_passes_percent,chances_created,final_third_passes,accurate_crosses,accurate_crosses_percent,accurate_long_balls,accurate_long_balls_percent,tackles_won,interceptions,recoveries,blocks,clearances,headed_clearances,dribbled_past,duels_won,duels_lost,ground_duels_won,ground_duels_won_percent,aerial_duels_won,aerial_duels_won_percent,was_fouled,fouls_committed,saves,goals_conceded,xgot_faced,goals_prevented,sweeper_actions,gk_accurate_passes,gk_accurate_long_balls,dispossessed,high_claim,corners,saves_inside_box,offsides,successful_dribbles_percent,tackles_won_percent,xgot,tackles,start_min,finish_min,team_goals_conceded,penalties_scored,penalties_missed,top_speed,distance_covered,walking_distance,running_distance,sprinting_distance,number_of_sprints,defensive_contributions
263,25-26-prem-aston-villa-vs-crystal-palace,4,0,0,0,0.0,0.0,0,0,0,0,5,3,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,1,0,0,1,0,1,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,25-26-prem-aston-villa-vs-crystal-palace,7,0,0,0,0.0,0.0,0,0,0,0,7,4,0.0,0.0,1,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,25-26-prem-aston-villa-vs-crystal-palace,6,0,0,0,0.0,0.0,0,0,0,0,7,7,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,90,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,25-26-prem-aston-villa-vs-crystal-palace,5,0,0,0,0.0,0.0,0,0,0,0,4,3,0.0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,1,1,0.0,0,0.0,0,1,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,1,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,25-26-prem-tottenham-hotspur-vs-afc-bournemouth,90,0,1,2,0.14,0.03,0,0,0,1,62,27,0.0,1.0,17,0,0.0,4,0.0,0,4,6,0,8,3,0,6,1,5,0.0,1,0.0,3,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,25-26-prem-tottenham-hotspur-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,41,16,0.0,0.0,9,0,0.0,7,0.0,0,0,10,0,2,0,0,1,0,0,0.0,1,0.0,0,0,1,0,0.22,0.22,0,16,7,0.0,3,0,0,0,0.0,0.0,0.0,0,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,25-26-prem-tottenham-hotspur-vs-afc-bournemouth,81,1,0,5,0.5,0.06,2,0,1,6,29,13,0.0,2.0,2,0,0.0,0,0.0,0,0,3,1,1,1,2,3,6,1,0.0,2,0.0,1,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.88,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,25-26-prem-tottenham-hotspur-vs-afc-bournemouth,90,0,0,1,0.03,0.01,1,1,0,1,51,28,0.0,0.0,3,0,0.0,1,0.0,0,2,7,0,1,0,1,5,4,4,0.0,1,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.18,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,25-26-prem-tottenham-hotspur-vs-afc-bournemouth,90,0,0,3,0.21,0.06,1,4,1,5,48,18,0.0,2.0,7,0,0.0,2,0.0,0,0,8,0,0,0,0,9,6,7,0.0,2,0.0,1,2,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.12,2,0,90,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,25-26-prem-tottenham-hotspur-vs-afc-bournemouth,90,0,0,0,0.0,0.0,0,0,0,0,65,41,0.0,0.0,6,0,0.0,7,0.0,0,0,13,0,0,0,0,0,0,0,0.0,0,0.0,0,0,5,1,1.48,0.48,2,41,7,0.0,1,0,0,0,0.0,0.0,0.0,0,0,90,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
